id;activite_soumise;adresse;nom;dep;bar_tabac;bureau_tabac;cave_cigare;tabac_presse;services;telephone;dep_name
1;buraliste;75 RUE AUTEUIL 75016 PARIS VOIR LE PLAN;TABAC D'AUTEUIL;75;0;1;0;1;brasserie & stylo & fdj & jeux de grattage & presse & jeux de tirage & animaux acceptés & ticket de transport & ;01 46 51 05 32;Paris
2;buraliste;130 BOULEVARD VOLTAIRE 75011 PARIS VOIR LE PLAN;TABAC VOLTAIRE;75;0;1;1;1;fdj & stylo & pmu & masque grand public & presse & carte d'anniversaire & cave à cigares & ticket de transport & ;01 43 79 20 09;Paris
3;buraliste;108 AVENUE GAMBETTA 75020 PARIS VOIR LE PLAN;TABAC LE SAINT FARGEAU;75;0;1;0;0;"";01 43 61 96 75;Paris
4;buraliste;809 A 0 5 RUE WASHINGTON 75008 PARIS VOIR LE PLAN;CIVETTE ELYSÉE WASHINGTON;75;0;1;0;0;"";01 45 62 51 29;Paris
5;buraliste;168 BOULEVARD MASSNA 75013 PARIS VOIR LE PLAN;CHEZ JULIA;75;0;1;0;0;"";01 40 02 08 09;Paris
6;buraliste;1 AVENUE LAUMIRE 75019 PARIS VOIR LE PLAN;LE MARIGNY;75;0;1;0;0;"";01 73 79 27 54;Paris
7;buraliste;89 RUE GLACIRE 75013 PARIS VOIR LE PLAN;TABAC DE LA GLACIERE;75;0;1;0;0;"";06 98 16 15 52;Paris
8;buraliste;PL LOUIS ARMAND QUAI A GARE DE LYON 20 BOULEVARD DIDEROT 75012 PARIS VOIR LE PLAN;TABAC CADEAUX RELAY BASCLE JACQUELINE;75;0;1;0;0;carte téléphonique & ;01 43 42 21 89;Paris
9;buraliste;108 BOULEVARD MONTPARNASSE 75014 PARIS VOIR LE PLAN;PHILIPPE CHEN ET ASSOCIÉS;75;0;1;0;0;"";01 43 35 23 41;Paris
10;buraliste;45 RUE LINOIS 75015 PARIS VOIR LE PLAN;BEAU DRUGSTORE;75;0;1;1;0;pmu & cigares & fdj & cigarettes électroniques & cave à cigares & tabac à pipe & accès handicapé & articles pour fumeurs & ;01 45 75 55 81;Paris
11;buraliste;6 RUE ST MARTIN 75004 PARIS VOIR LE PLAN;LE VICTORIA;75;0;1;0;0;"";01 49 96 52 29;Paris
12;buraliste;68 RUE CLIGNANCOURT 75018 PARIS VOIR LE PLAN;BAR TABAC DES POSTES;75;0;1;0;0;"";06 64 15 45 02;Paris
13;buraliste;21 RUE DAVAL 75011 PARIS VOIR LE PLAN;TABAC BASTILLE;75;0;1;0;0;"";01 53 36 03 24;Paris
14;buraliste;CARROUSEL DU LOUVRE 99 RUE RIVOLI 75001 PARIS VOIR LE PLAN;LA CIVETTE DU CARROUSSEL;75;0;1;0;0;"";01 40 20 02 80;Paris
15;buraliste;76 BOULEVARD SOULT 75012 PARIS VOIR LE PLAN;TABAC SOULT;75;0;1;0;0;"";01 43 07 78 98;Paris
16;buraliste;51 RUE LANCRY 75010 PARIS VOIR LE PLAN;L ARIEL;75;0;1;0;0;"";01 42 08 39 26;Paris
17;buraliste;4 RUE BASTILLE 75004 PARIS VOIR LE PLAN;CIVETTE DE LA BASTILLE;75;0;1;0;0;cigares & cigarettes électroniques & ;01 48 04 91 33;Paris
18;buraliste;22 AVENUE VICTOR HUGO 75116 PARIS VOIR LE PLAN;BOUTIQUE 22;75;0;1;1;0;cave à cigares & articles pour fumeurs & stylo & ;01 45 01 81 41;Paris
19;buraliste;145 AVENUE VILLIERS 75017 PARIS VOIR LE PLAN;LE GRAND CAFÉ;75;0;1;0;0;"";01 47 64 08 33;Paris
